Store Name,Link,Phone,Email,Address,Open Hours
Auburn Pop Up,https://shop.lululemon.com/stores/us/auburn/auburn-pop-up,334-769-2561,auburn-popup@lululemon.com,"234 N. Gay Street, Unit C1, Auburn, AL, US, 36830",Mon - Sat: 10:00am - 7:00pm; Sun: 12:00pm - 6:00pm
Summit Birmingham,https://shop.lululemon.com/stores/us/birmingham/birmingham,205-303-1892,birmingham-store@lululemon.com,"220 Summit Boulevard, Unit 140, Birmingham, AL, US, 35243",Mon - Sat: 10:00am - 9:00pm; Sun: 11:00am - 6:00pm
Bridge Street Town Centre,https://shop.lululemon.com/stores/us/huntsville/merchants-walk,256-535-0422,merchantswalk-store@lululemon.com,"365 The Bridge Street, Building 330, Suite 110, Huntsville, AL, US, 35806",Mon - Sat: 10:00am - 9:00pm; Sun: 11:00am - 6:00pm
Legacy Village at Spring Hill,https://shop.lululemon.com/stores/us/mobile/legacy-village-at-spring-hill,251-320-6347,legacyvillage-store@lululemon.com,"9 Du Rhu Drive, Mobile, AL, US, 36608",Mon - Sat: 10:00am - 7:00pm; Sun: 11:00am - 7:00pm
The Shoppes at EastChase Pop Up,https://shop.lululemon.com/stores/us/montgomery/the-shoppes-at-eastchase-pop-up,334-396-3889,eastchase-popup@lululemon.com,"7060 EastChase Parkway, Montgomery, AL, US, 36117",Mon - Sat: 10:00am - 8:00pm; Sun: 12:00pm - 6:00pm
Midtown Village Pop Up,https://shop.lululemon.com/stores/us/tuscaloosa/midtown-village-pop-up,205-349-3029,tuscaloosa-popup@lululemon.com,"1800 McFarland Boulevard East, Space 108, Tuscaloosa, AL, US, 35404",Mon - Sat: 10:00am - 7:00pm; Sun: 12:00pm - 6:00pm
5th Avenue Mall,https://shop.lululemon.com/stores/us/anchorage/5th-avenue-mall,907-274-0003,anchorage-store@lululemon.com,"320 W 5th Ave, D30A, Anchorage, AK, US, 99501",Mon - Sat: 10:00am - 7:00pm; Sun: 11:00am - 6:00pm
Dimond Center Pop Up,https://shop.lululemon.com/stores/us/anchorage/dimond-center-pop-up,907-563-2019,dimond-popup@lululemon.com,"800 East Dimond Boulevard Suite #110, Anchorage, AK, US, 99515",Mon - Sat: 10:00am - 8:00pm; Sun: 12:00pm - 7:00pm
Chandler Blvd,https://shop.lululemon.com/stores/us/chandler/chandler,480-485-3359,chandler-store@lululemon.com,"3111 West Chandler Boulevard, Unit 1016, Chandler, AZ, US, 85226",Mon - Sat: 10:00am - 9:00pm; Sun: 11:00am - 6:00pm
Aspen Place Flagstaff - Local,https://shop.lululemon.com/stores/us/flagstaff/aspen-place-flagstaff-local,928-779-9861,flagstaff-local@lululemon.com,"320 S Regent St, Suite 304, Flagstaff, AZ, US, 86001",Mon - Thu: 10:00am - 7:00pm; Fri - Sat: 10:00am - 8:00pm; Sun: 10:00am - 6:00pm
SanTan Village,https://shop.lululemon.com/stores/us/gilbert/santan-village,480-618-7762,Santanvillage-store@lululemon.com,"2156 E. Williams Field Rd, Suite 109, Gilbert, AZ, US, 85295",Mon - Thu: 10:00am - 8:00pm; Fri - Sat: 10:00am - 9:00pm; Sun: 11:00am - 6:00pm
Arrowhead Towne Center,https://shop.lululemon.com/stores/us/glendale/arrowhead-towne-center,623-257-6665,arrowhead-store@lululemon.com,"7700 W Arrowhead Towne Center, Space 1097, Glendale, AZ, US, 85308",Mon - Sat: 10:00am - 9:00pm; Sun: 11:00am - 6:00pm
Westgate Outlets,https://shop.lululemon.com/stores/us/glendale/westgate-outlets,623-877-9291,westgate-outlet@lululemon.com,"6800 North 95th Avenue, Suite 390, Glendale, AZ, US, 85305",Mon - Sat: 10:00am - 9:00pm; Sun: 10:00am - 7:00pm
Biltmore Fashion Park,https://shop.lululemon.com/stores/us/phoenix/biltmore,602-932-2684,biltmore-store@lululemon.com,"2502 E. Camelback Road, Suite 133, Phoenix, AZ, US, 85016",Mon - Sat: 10:00am - 8:00pm; Sun: 11:00am - 6:00pm
Scottsdale Quarter,https://shop.lululemon.com/stores/us/scottsdale/scottsdale,480-531-7266,scottsdale-store@lululemon.com,"15257 North Scottsdale Road, F-115, Scottsdale, AZ, US, 85254",Mon - Thu: 10:00am - 8:00pm; Fri - Sat: 10:00am - 9:00pm; Sun: 11:00am - 6:00pm
Scottsdale Fashion Square,https://shop.lululemon.com/stores/us/scottsdale/scottsdalefs,623-745-1612,scottsdalefs-store@lululemon.com,"7014 East Camelback Rd, Unit 2238, Scottsdale, AZ, US, 85251",Mon - Sat: 10:00am - 9:00pm; Sun: 11:00am - 6:00pm
Tempe Marketplace Pop Up,https://shop.lululemon.com/stores/us/tempe/tempe-marketplace-pop-up,480-914-5537,tempe-popup@lululemon.com,"2000 E Rio Salado Pkwy, Suite 1013, Tempe, AZ, US, 85281",Mon - Sat: 11:00am - 9:00pm; Sun: 11:00am - 6:00pm
La Encantada,https://shop.lululemon.com/stores/us/tucson/laencantada,520-341-2397,laencantada-store@lululemon.com,"2905 E Skyline Dr, Tucson, Arizona, 85718, Space 251, Tucson, AZ, US, 85718",Mon - Wed: 10:00am - 7:00pm; Thu - Sat: 10:00am - 8:00pm; Sun: 11:00am - 6:00pm
